"","","","2018 [2018]","2018 [2018]","2018 [2018]","2018 [2018]","2019 [2019]","2019 [2019]","2019 [2019]","2019 [2019]","2020 [2020]","2020 [2020]","2020 [2020]","2020 [2020]"
"","","","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note"
"Afghanistan [2]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","495.504343","International reliable sources","","US$","496.940553","International reliable sources","","US$","508.453722","International reliable sources",""
"Albania [3]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","5,257.650696","International reliable sources","","US$","5,345.602513","International reliable sources","","US$","5,180.914198","International reliable sources",""
"Algeria [4]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","4,153.961485","International reliable sources","","US$","3,975.519002","International reliable sources","","US$","3,367.963003","International reliable sources",""
"Andorra [6]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","41,794.398572","International reliable sources","","US$","40,900.53859","International reliable sources","","US$","37,072.405384","International reliable sources",""
"Angola [7]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","3,289.643374","International reliable sources","","US$","2,809.626403","International reliable sources","","US$","1,895.770703","International reliable sources",""
"Anguilla [258]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","21,889.590357","International reliable sources","","US$","25,336.581453","International reliable sources","","US$","17,225.937529","International reliable sources",""
"Antigua and Barbuda [8]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","16,678.898744","International reliable sources","","US$","17,376.112907","International reliable sources","","US$","13,993.320179","International reliable sources",""
"Argentina [9]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","11,668.47239","International reliable sources","","US$","9,947.264856","International reliable sources","","US$","8,475.729582","International reliable sources",""
"Armenia [1]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","4,220.534194","International reliable sources","","US$","4,604.641377","International reliable sources","","US$","4,266.005479","International reliable sources",""
"Aruba [22]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","30,253.577818","International reliable sources","","US$","31,136.110954","International reliable sources","","US$","23,385.638671","International reliable sources",""
"Australia [10]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","58,596.826341","International reliable sources","","US$","54,763.202388","International reliable sources","","US$","55,822.712845","International reliable sources",""
"Austria [11]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","51,192.024455","International reliable sources","","US$","49,693.668783","International reliable sources","","US$","48,105.631983","International reliable sources",""
"Azerbaijan [52]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","4,735.14288","International reliable sources","","US$","4,794.54492","International reliable sources","","US$","4,202.232239","International reliable sources",""
"Bahamas [12]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","33,289.983591","International reliable sources","","US$","33,799.839641","International reliable sources","","US$","25,194.289197","International reliable sources",""
"Bahrain [13]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","23,991.920463","International reliable sources","","US$","23,442.830854","International reliable sources","","US$","19,925.001599","International reliable sources",""
"Bangladesh [16]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,670.796355","International reliable sources","","US$","1,846.416377","International reliable sources","","US$","2,000.640157","International reliable sources",""
"Barbados [14]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","17,872.181579","International reliable sources","","US$","18,458.148245","International reliable sources","","US$","15,449.237002","International reliable sources",""
"Belarus [57]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","6,350.731855","International reliable sources","","US$","6,814.152439","International reliable sources","","US$","6,377.055432","International reliable sources",""
"Belgium [255]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","47,314.524698","International reliable sources","","US$","46,388.205209","International reliable sources","","US$","45,028.323405","International reliable sources",""
"Belize [23]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","4,927.194224","International reliable sources","","US$","4,983.310582","International reliable sources","","US$","3,987.726394","International reliable sources",""
"Benin [53]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,241.824418","International reliable sources","","US$","1,219.515479","International reliable sources","","US$","1,254.212589","International reliable sources",""
"Bermuda [17]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","115,117.725795","International reliable sources","","US$","119,734.313506","International reliable sources","","US$","123,944.906901","International reliable sources",""
"Bhutan [18]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","3,243.513335","International reliable sources","","US$","3,316.191236","International reliable sources","","US$","3,217.962935","International reliable sources",""
"Bolivia (Plurinational State of) [19]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","3,548.590155","International reliable sources","","US$","3,552.06876","International reliable sources","","US$","3,133.10195","International reliable sources",""
"Bosnia and Herzegovina [80]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","6,072.24537","International reliable sources","","US$","6,120.156351","International reliable sources","","US$","6,035.475569","International reliable sources",""
"Botswana [20]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","8,279.821655","International reliable sources","","US$","7,970.842173","International reliable sources","","US$","6,710.960147","International reliable sources",""
"Brazil [21]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","9,151.381601","International reliable sources","","US$","8,936.360101","International reliable sources","","US$","6,796.844058","International reliable sources",""
"British Virgin Islands [239]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","46,368.364539","International reliable sources","","US$","47,913.516184","International reliable sources","","US$","49,357.19308","International reliable sources",""
"Brunei Darussalam [26]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","31,627.233053","International reliable sources","","US$","31,086.329196","International reliable sources","","US$","27,436.741515","International reliable sources",""
"Bulgaria [27]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","9,410.869005","International reliable sources","","US$","9,844.65467","International reliable sources","","US$","10,058.077407","International reliable sources",""
"Burkina Faso [233]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","813.09975","International reliable sources","","US$","786.895614","International reliable sources","","US$","830.925337","International reliable sources",""
"Burundi [29]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","296.841911","International reliable sources","","US$","292.139142","International reliable sources","","US$","285.875782","International reliable sources",""
"Cabo Verde [35]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","3,616.441531","International reliable sources","","US$","3,603.782576","International reliable sources","","US$","3,064.276546","International reliable sources",""
"Cambodia [115]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,512.127268","International reliable sources","","US$","1,643.641451","International reliable sources","","US$","1,512.728288","International reliable sources",""
"Cameroon [32]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,534.491991","International reliable sources","","US$","1,507.450172","International reliable sources","","US$","1,502.328062","International reliable sources",""
"Canada [33]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","46,444.396642","International reliable sources","","US$","46,550.335507","International reliable sources","","US$","43,559.710092","International reliable sources",""
"Cayman Islands [36]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","86,053.960945","International reliable sources","","US$","91,389.352439","International reliable sources","","US$","95,190.932506","International reliable sources",""
"Central African Republic [37]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","475.954444","International reliable sources","","US$","467.673136","International reliable sources","","US$","481.016462","International reliable sources",""
"Chad [39]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","734.731831","International reliable sources","","US$","706.825833","International reliable sources","","US$","679.067284","International reliable sources",""
"Chile [40]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","15,888.149122","International reliable sources","","US$","14,741.711597","International reliable sources","","US$","13,231.709642","International reliable sources",""
"China [351]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","9,968.925552","Calculated data","","US$","10,195.736594","Calculated data","","US$","10,429.630529","Calculated data",""
"China, Hong Kong SAR [96]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","49,064.673097","International reliable sources","","US$","49,179.751067","International reliable sources","","US$","46,611.39104","International reliable sources",""
"China, Macao SAR [128]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","87,554.217569","International reliable sources","","US$","86,118.106459","International reliable sources","","US$","37,473.753262","International reliable sources",""
"China, mainland [41]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","9,732.726567","International reliable sources","","US$","9,959.637355","International reliable sources","","US$","10,228.970558","International reliable sources",""
"Colombia [44]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","6,729.584484","International reliable sources","","US$","6,424.979431","International reliable sources","","US$","5,332.77279","International reliable sources",""
"Comoros [45]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","1,428.290313","International reliable sources","","US$","1,401.550515","International reliable sources","","US$","1,420.651905","International reliable sources",""
"Congo [46]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","2,547.519151","International reliable sources","","US$","2,327.854806","International reliable sources","","US$","1,830.382491","International reliable sources",""
"Cook Islands [47]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","20,705.211245","International reliable sources","","US$","20,332.551756","International reliable sources","","US$","16,134.977948","International reliable sources",""
