Date; Time; Temp
21.05.2022; 04:34:22;15.25
21.05.2022; 04:35:35;15.25
21.05.2022; 04:36:47;15.31
21.05.2022; 04:37:59;15.31
21.05.2022; 04:39:12;15.31
21.05.2022; 04:40:24;15.38
21.05.2022; 04:41:37;15.38
21.05.2022; 04:42:49;15.44
21.05.2022; 04:44:01;15.44
21.05.2022; 04:45:14;15.44
21.05.2022; 04:46:26;15.44
21.05.2022; 04:47:39;15.44
21.05.2022; 04:48:51;15.38
21.05.2022; 04:50:06;15.44
21.05.2022; 04:51:18;15.38
21.05.2022; 04:52:31;15.38
21.05.2022; 04:53:43;15.38
21.05.2022; 04:54:55;15.38
21.05.2022; 04:56:08;15.38
21.05.2022; 04:57:20;15.38
21.05.2022; 04:58:32;15.31
21.05.2022; 04:59:45;15.31
21.05.2022; 05:00:57;15.31
21.05.2022; 05:02:10;15.31
21.05.2022; 05:03:22;15.25
21.05.2022; 05:04:34;15.25
21.05.2022; 05:05:47;15.19
21.05.2022; 05:06:59;15.19
21.05.2022; 05:08:12;15.19
21.05.2022; 05:09:25;15.19
21.05.2022; 05:10:37;15.19
21.05.2022; 05:11:49;15.19
21.05.2022; 05:13:02;15.19
21.05.2022; 05:14:14;15.19
21.05.2022; 05:15:26;15.19
21.05.2022; 05:16:39;15.19
21.05.2022; 05:17:51;15.19
21.05.2022; 05:19:03;15.19
21.05.2022; 05:20:16;15.19
21.05.2022; 05:21:28;15.13
21.05.2022; 05:22:41;15.13
21.05.2022; 05:23:53;15.19
21.05.2022; 05:25:05;15.19
21.05.2022; 05:26:19;15.19
21.05.2022; 05:27:31;15.19
21.05.2022; 05:28:44;15.25
21.05.2022; 05:29:56;15.25
21.05.2022; 05:31:08;15.31
21.05.2022; 05:32:21;15.31


